Table S1.1 Metadata of cyanobacteria whole genomes sampled from temperate and cold-freezing environments,,,,,,,,,,
accession,organism_name,country,isolation_source,genome_size,cell_type,gc_percentage,check_m_completeness,check_m_contamination,salt_fresh,temp_cat
GCA_020245895.1,Microcystis sp. M162S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4529869,single,43.07475558,97.7,0.51,fresh,cold-freezing
GCA_020245905.1,Microcystis sp. M166S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4561710,single,43.02526903,97.7,0.4,fresh,cold-freezing
GCA_020245945.1,Microcystis sp. M015S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4550963,single,42.8971187,99.23,0.29,fresh,cold-freezing
GCA_020245985.1,Microcystis sp. M152S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4485096,single,43.05838716,97.92,0.29,fresh,cold-freezing
GCA_020246005.1,Microcystis sp. M151S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4540924,single,42.61394817,97.04,0.51,fresh,cold-freezing
GCA_020246015.1,Microcystis sp. M145S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4594401,single,42.85509689,99.23,0.51,fresh,cold-freezing
GCA_020246025.1,Microcystis sp. M155S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4419503,single,42.98865732,97.48,0.29,fresh,cold-freezing
GCA_020246065.1,Microcystis sp. M144S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4353331,single,42.99151615,99.45,0,fresh,cold-freezing
GCA_020246105.1,Microcystis sp. M125S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4570919,single,42.99656152,97.92,0.29,fresh,cold-freezing
GCA_020246125.1,Microcystis sp. M136S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4528932,single,42.99534636,97.7,0.29,fresh,cold-freezing
GCA_020246135.1,Microcystis sp. M135S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4590509,single,42.83021774,97.92,0.4,fresh,cold-freezing
GCA_020246165.1,Microcystis sp. M122S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4704844,single,42.73784636,99.23,0.07,fresh,cold-freezing
GCA_020246185.1,Microcystis sp. M113S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4531412,single,42.96512875,97.7,0.29,fresh,cold-freezing
GCA_020246205.1,Microcystis sp. M116S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4735029,single,42.81866067,99.67,0.07,fresh,cold-freezing
GCA_020246215.1,Microcystis sp. M112S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4384539,single,43.20474741,97.7,0.73,fresh,cold-freezing
GCA_020246245.1,Microcystis sp. M114S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4810960,single,42.96976071,99.23,0.07,fresh,cold-freezing
GCA_020246265.1,Microcystis sp. M100S2,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4743834,single,42.80919189,99.45,0.07,fresh,cold-freezing
GCA_020246365.1,Microcystis sp. M007S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4769371,single,42.90676905,99.45,0.29,fresh,cold-freezing
GCA_020246375.1,Microcystis sp. M085S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4739061,single,42.75722553,99.67,0.07,fresh,cold-freezing
GCA_020246405.1,Microcystis sp. M083S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4569295,single,42.88983311,99.67,0.07,fresh,cold-freezing
GCA_020246425.1,Microcystis sp. M079S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4705533,single,42.95194615,99.01,0.07,fresh,cold-freezing
GCA_020246445.1,Microcystis sp. M078S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4850951,single,42.93838466,98.79,0.07,fresh,cold-freezing
GCA_020246465.1,Microcystis sp. M074S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4930428,single,42.85615772,99.23,0.18,fresh,cold-freezing
GCA_020246525.1,Microcystis sp. M065S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4805915,single,42.59399095,99.45,0.29,fresh,cold-freezing
GCA_020246565.1,Microcystis sp. M051S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4513526,single,43.06181021,97.7,0.51,fresh,cold-freezing
GCA_020246605.1,Microcystis sp. M048S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4543707,single,43.0185309,97.48,0.29,fresh,cold-freezing
GCA_020246645.1,Microcystis sp. M046S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4778061,single,42.69972694,99.67,0.07,fresh,cold-freezing
GCA_020246665.1,Microcystis sp. M045S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4677996,single,42.78173816,99.67,0.07,fresh,cold-freezing
GCA_020246685.1,Microcystis sp. M043S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4673225,single,42.77397301,99.67,0.07,fresh,cold-freezing
GCA_020246705.1,Microcystis sp. M042S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4662916,single,42.75624952,99.45,0.07,fresh,cold-freezing
GCA_020246735.1,Microcystis sp. M039S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4528746,single,42.95484887,97.7,0.29,fresh,cold-freezing
GCA_020246765.1,Microcystis sp. M035S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4584031,single,43.07115288,97.7,0.73,fresh,cold-freezing
GCA_020246845.1,Microcystis sp. M034S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4628336,single,43.1333637,97.92,0.95,fresh,cold-freezing
GCA_020246905.1,Microcystis sp. M011S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4526952,single,42.9505769,97.7,0.29,fresh,cold-freezing
GCA_020246925.1,Microcystis sp. M112S1,Canada: Quebec;Champlain Lake,freshwater surface (50 cm depth),4809659,single,42.61196064,97.26,0.37,fresh,cold-freezing
GCA_020386575.1,Phormidium sp. PBR-2020,Canada:Calgary,Soda lakes,5000054,filament,51.70150162,99.73,0,mineral,temperate
GCA_020403945.1,Pseudanabaena sp. M125S2SP2A07QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4472406,filament,41.83486472,97.64,0.71,fresh,temperate
GCA_020404025.1,Pseudanabaena sp. M037S2SP2A07QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4706602,filament,41.73718109,98.74,1.06,fresh,temperate
GCA_020404045.1,Pseudanabaena sp. M151S2SP2A07QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4808925,filament,41.71127643,99.29,1.06,fresh,temperate
GCA_020404065.1,Pseudanabaena sp. M152S2SP2A07QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4828984,filament,41.7084629,99.29,0.59,fresh,temperate
GCA_020404085.1,Pseudanabaena sp. M065S1SP2A07QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4748683,filament,41.70019351,99.06,1.18,fresh,temperate
GCA_020404105.1,Pseudanabaena sp. M53BS1SP1A06MG,Brazil: Belo Horizonte;Pampulha Lake,Microcystis colony from freshwater lake,4628989,filament,41.58778515,98.58,0.94,fresh,temperate
GCA_020404895.1,Pseudanabaena sp. M085S1SP2A07QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4808668,filament,41.71373445,99.06,2.12,fresh,temperate
GCA_020404925.1,Pseudanabaena sp. M34BS1SP1A06MG,Brazil: Belo Horizonte;Pampulha Lake,Microcystis colony from freshwater lake,4650537,filament,41.54455711,97.88,0.71,fresh,temperate
GCA_020404945.1,Pseudanabaena sp. M38BS1SP1A06MG,Brazil: Belo Horizonte;Pampulha Lake,Microcystis colony from freshwater lake,4547635,filament,41.51146695,98.82,0.94,fresh,temperate
GCA_020405005.1,Pseudanabaena sp. M046S1SP1A06QC,Canada: Quebec;Champlain Lake,Microcystis colony from freshwater lake,4352076,filament,41.73576013,98.82,0.83,fresh,temperate
GCF_020514095.1,Synechococcus sp. MU1643,Tasman Sea,Sea water,2066863,single,59.85379776,99.73,0,salt,temperate
GCF_020514115.1,Synechococcus sp. MU1642,Tasman Sea,Sea water,2116729,single,59.46609131,99.7,0,salt,temperate
GCF_020514205.1,Synechococcus sp. MU1625,Tasman Sea,Sea water,2328035,single,58.62781273,99.18,0.27,salt,temperate
GCF_020514235.1,Synechococcus sp. MU1617,Tasman Sea,Sea water,2326594,single,59.89063842,99.73,0,salt,temperate
GCF_020514255.1,Synechococcus sp. MU1611,Australia: Port Hacking NRS,Sea water,2339429,single,58.56305107,99.73,0,salt,temperate
GCF_020514275.1,Synechococcus sp. HBA1120,Australia: Sydney; Freshwater Beach,Sea water,2362268,single,58.23568706,99.46,0,salt,temperate
GCF_020514355.1,Synechococcus sp. HB1133,Australia: Sydney; Freshwater Beach,Sea water,2378765,single,58.23660597,99.46,0,salt,temperate
GCF_020594595.1,Planktothrix agardhii 1808,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,4965408,filament,39.59398704,99.56,0.12,fresh,temperate
GCF_020594635.1,Planktothrix agardhii 1031,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,5046113,filament,39.57216178,100,1,fresh,temperate
GCA_020692205.1,Myxosarcina sp. GA_180221_E-2-1-MAG-40_15,Germany: Volcanic Eifel; Andernach,groundwater from cold water geyser; filtered on 0.1um pore size filters,4869446,single,39.94828318,98.62,0.22,fresh,temperate
GCA_020692865.1,Myxosarcina sp. GA_180221_E-1-2-MAG-39_37,Germany: Volcanic Eifel; Andernach,groundwater from cold water geyser; filtered on 0.1um pore size filters,5446359,single,39.81652836,99.27,0.44,fresh,temperate
GCA_020693085.1,Pleurocapsa sp. GA_180221_E-1-1-MAG-40_19,Germany: Volcanic Eifel; Andernach,groundwater from cold water geyser; filtered on 0.1um pore size filters,4878576,single,39.92816094,98.4,0.22,fresh,temperate
GCA_020737765.1,Microcoleus sp. PH2017_38_RDM_U_B,USA: California; Eel River; Red Mountain Creek,river cyanobacterial mat,7539312,filament,45.40486608,99.38,0.01,fresh,temperate
GCA_020737775.1,Microcoleus sp. PH2017_37_MFU_D_B,USA: California; Eel River; Middle Fork Eel River,river cyanobacterial mat,7585384,filament,45.3618346,99.64,0.44,fresh,temperate
GCA_020737805.1,Microcoleus sp. PH2017_36_ELK_O_B,USA: California; Eel River; South Fork Eel River; near confluence with Elk Creek,river cyanobacterial mat,7742901,filament,45.35033629,99.82,0.23,fresh,temperate
GCA_020737825.1,Microcoleus sp. PH2017_40_RAT_O_B,USA: California; Eel River; Rattlesnake Creek,river cyanobacterial mat,7528392,filament,45.40852304,99.93,0.01,fresh,temperate
GCA_020737835.1,Microcoleus sp. PH2017_39_LGB_O_B,USA: California; Eel River; South Fork Eel River; near Leggett,river cyanobacterial mat,7232803,filament,45.43255206,99.93,0.01,fresh,temperate
GCA_020737865.1,Microcoleus sp. PH2017_35_SFW_U_B,USA: California; Eel River; South Fork Eel River; downstream of confluence with Fox Creek,river cyanobacterial mat,7592293,filament,45.35329913,99.71,0.23,fresh,temperate
GCA_020737885.1,Microcoleus sp. PH2017_34_RAT_O_A,USA: California; Eel River; Rattlesnake Creek,river cyanobacterial mat,7467879,filament,45.41088962,99.49,0.23,fresh,temperate
GCA_020737895.1,Microcoleus sp. PH2017_31_RDM_U_A,USA: California; Eel River; Red Mountain Creek,river cyanobacterial mat,7525651,filament,45.41231667,99.38,0.01,fresh,temperate
GCA_020737905.1,Microcoleus sp. PH2017_33_LGB_O_A,USA: California; Eel River; South Fork Eel River; near Leggett,river cyanobacterial mat,7238112,filament,45.42696673,99.93,0.01,fresh,temperate
GCA_020737945.1,Microcoleus sp. PH2017_32_RDM_D_A,USA: California; Eel River; Red Mountain Creek,river cyanobacterial mat,7527500,filament,45.41583437,99.38,0.01,fresh,temperate
GCA_020737965.1,Microcoleus sp. PH2017_30_WIL_O_A,USA: California; Eel River; Williams Creek,river cyanobacterial mat,7843309,filament,45.28711505,99.71,0.01,fresh,temperate
GCA_020738025.1,Microcoleus sp. PH2017_29_MFU_D_A,USA: California; Eel River; Middle Fork Eel River,river cyanobacterial mat,7639537,filament,45.39591466,99.71,0.44,fresh,temperate
GCA_020738035.1,Microcoleus sp. PH2017_28_MFU_U_A,USA: California; Eel River; Middle Fork Eel River,river cyanobacterial mat,7559300,filament,45.3362035,99.49,0.66,fresh,temperate
GCA_020738075.1,Microcoleus sp. PH2017_27_LUM_O_A,USA: California; Eel River; South Fork Eel River; near Leggett,river cyanobacterial mat,7492223,filament,45.77009679,99.49,0.44,fresh,temperate
GCA_020738105.1,Microcoleus sp. PH2017_26_ELK_O_A,USA: California; Eel River; South Fork Eel River; near confluence with Elk Creek,river cyanobacterial mat,7737596,filament,45.35283046,99.82,0.23,fresh,temperate
GCA_020738135.1,Microcoleus sp. PH2017_25_DOB_D_A,USA: California; Eel River; Dobbyn Creek,river cyanobacterial mat,7466140,filament,45.42329271,99.41,0.01,fresh,temperate
GCA_020738205.1,Microcoleus sp. PH2017_24_DOB_U_A,USA: California; Eel River; Dobbyn Creek,river cyanobacterial mat,7459424,filament,45.43279201,99.41,0.01,fresh,temperate
GCA_020738265.1,Microcoleus sp. PH2017_19_SFW_U_A,USA: California; Eel River; South Fork Eel River; downstream of confluence with Fox Creek,river cyanobacterial mat,7585625,filament,45.35145792,98.94,0.55,fresh,temperate
GCA_020738275.1,Microcoleus sp. PH2017_22_RUC_O_B,USA: California; Russian River; near Cloverdale airport,river cyanobacterial mat,7503682,filament,45.73099365,99.93,0.23,fresh,temperate
GCA_020738285.1,Microcoleus sp. PH2017_21_RUC_O_A,USA: California; Russian River; near Cloverdale airport,river cyanobacterial mat,7523049,filament,45.70569956,99.93,0.23,fresh,temperate
GCA_020738295.1,Microcoleus sp. PH2017_20_SFW_D_A,USA: California; Eel River; South Fork Eel River; downstream of confluence with Fox Creek,river cyanobacterial mat,7593467,filament,45.35792067,99.71,0.23,fresh,temperate
GCA_020738385.1,Microcoleus sp. PH2017_18_LLB_O_A,USA: California; Eel River; Little Larabee Creek,river cyanobacterial mat,7525551,filament,45.38220266,99.6,0.01,fresh,temperate
GCA_020738445.1,Microcoleus sp. PH2017_15_JOR_U_A,USA: California; Eel River; Jordan Creek,river cyanobacterial mat,7647288,filament,45.34309138,99.65,0.36,fresh,temperate
GCA_020738465.1,Microcoleus sp. PH2017_14_LAR_D_A,USA: California; Eel River; Larabee Creek,river cyanobacterial mat,7586717,filament,45.35095026,99.82,0.23,fresh,temperate
GCA_020738475.1,Microcoleus sp. PH2017_16_JOR_D_A,USA: California; Eel River; Jordan Creek,river cyanobacterial mat,7354120,filament,45.44985056,99.93,0.01,fresh,temperate
GCA_020738505.1,Microcoleus sp. PH2017_13_LAR_U_A,USA: California; Eel River; Larabee Creek,river cyanobacterial mat,7575791,filament,45.35971242,99.82,0.23,fresh,temperate
GCA_020738515.1,Microcoleus sp. PH2017_17_BER_D_A,USA: California; Eel River; Bear Creek,river cyanobacterial mat,7613317,filament,45.38295587,98.78,0.5,fresh,temperate
GCA_020738565.1,Microcoleus sp. PH2017_12_PCY_D_A,USA: California; Eel River; South Fork Eel River; near Piercy,river cyanobacterial mat,7603305,filament,45.75440306,99.93,0.44,fresh,temperate
GCA_020738595.1,Microcoleus sp. PH2017_11_PCY_U_A,USA: California; Eel River; South Fork Eel River; near Piercy,river cyanobacterial mat,7624754,filament,45.74465503,99.93,0.44,fresh,temperate
GCA_020738625.1,Microcoleus sp. PH2017_09_SFU_O_A,USA: California; Eel River,river cyanobacterial mat,7233362,filament,45.43141638,99.93,0.01,fresh,temperate
GCA_020738635.1,Microcoleus sp. PH2017_10_PVI_O_A,USA: California; Eel River; South Fork Eel River; near Phillipsville,river cyanobacterial mat,7555786,filament,45.77946212,99.71,0.44,fresh,temperate
GCA_020738665.1,Microcoleus sp. PH2017_08_TRC_O_A,USA: California; Eel River; Trout Creek,river cyanobacterial mat,7560343,filament,45.38911893,99.82,0.22,fresh,temperate
GCA_020738685.1,Microcoleus sp. PH2017_07_MST_O_A,USA: California; Eel River; Mainstem Eel River; near confluence with Trout Creek,river cyanobacterial mat,7246517,filament,45.39526159,97.55,0.52,fresh,temperate
GCA_020738785.1,Microcoleus sp. PH2017_05_CCC_O_A,USA: California; Eel River; Cedar Creek,river cyanobacterial mat,7704613,filament,45.28836596,98.18,0.22,fresh,temperate
GCA_020738905.1,Microcoleus sp. PH2017_02_FOX_O_A,USA: California; Eel River; Fox Creek,river cyanobacterial mat,7507973,filament,45.38749639,99.16,0.01,fresh,temperate
GCA_020738945.1,Microcoleus sp. PH2017_01_SCD_O_A,USA: California; Eel River; South Fork Eel River; downstream of confluence with Cedar Creek,river cyanobacterial mat,7541616,filament,45.38042163,99.71,0.22,fresh,temperate
GCA_020832215.1,Phormidium sp. BM_Day4_Bin.17,Canada: Calgary,bioreactors innoculated with microbial mats from alkaline soda lake,4707677,filament,51.85298397,99.18,0,salt,temperate
GCA_020882985.1,Microcoleus sp. CAWBG52,New Zealand: Southland,cyanobacterial mat,7405970,filament,45.36503852,99.05,0.66,NA,temperate
GCA_020883025.1,Microcoleus sp. CAWBG639,New Zealand: Wanaka,cyanobacterial mat,6496136,filament,44.56499979,99.49,0.51,fresh,cold-freezing
GCA_020883045.1,Microcoleus sp. CAWBG58,New Zealand: Hawkes Bay,cyanobacterial mat,7451363,filament,45.26177023,97.96,0.66,salt,temperate
GCA_020883095.1,Microcoleus sp. CAWBG50,New Zealand: Nelson,cyanobacterial mat,7356482,filament,45.30195024,97.99,0.63,NA,temperate
GCA_020883115.1,Microcoleus sp. CAWBG556,New Zealand: Canterbury,cyanobacterial mat,7423145,filament,45.32451533,97.96,0.55,NA,temperate
GCA_020883145.1,Microcoleus sp. CAWBG27,New Zealand: Wellington,cyanobacterial mat,7798074,filament,45.3355512,99.71,1.09,salt,temperate
GCA_020883175.1,Microcoleus sp. CAWBG24,New Zealand: Canterbury,cyanobacterial mat,7395238,filament,45.32414826,97.3,0.55,NA,temperate
GCA_020905635.1,Microcystis aeruginosa NIBR18,South Korea: Haengju bridge,freshwater,5868528,single,42.66442965,99.89,0.29,fresh,temperate
GCA_021297915.1,Anabaena sp. CoA2_C59,USA: Ohio; western Lake Erie; NOAA Station WE12,Phytoplankton seston > 100 micron diameter,4225696,filament,37.02748612,99.44,0.22,fresh,temperate
GCA_021298775.1,Pseudanabaena sp. CoA8_M7,USA: Ohio; western Lake Erie,Phytoplankton seston > 100 micron diameter,3826074,filament,41.85206559,98.35,0.71,fresh,temperate
GCA_021300285.1,Microcystis sp. 49638_E5,USA: Ohio; western Lake Erie; NOAA Station WE12,lake water,4742130,single,42.76333368,98.79,0.29,fresh,temperate
GCA_021300315.1,Anabaena sp. 49628_E55,USA: Ohio; western Lake Erie; NOAA Station WE12,lake water,4873444,filament,37.29182515,99.11,0.45,fresh,temperate
GCA_021405265.1,Leptolyngbya sp. PL-A2,China: Beijing,sludge from two different bioreactors; each one run at a different temprature (R1 at 35 C; R2 at 25 C); artificial municipal wastewater,3188741,filament,68.86639586,97.66,0.57,waste water,temperate
GCF_021533835.1,Synechococcus sp. Nb3U1,Japan: Nagano; Nakabusa,Section of microbial mat collected from hot spring water,3487976,single,55.18957669,98.25,0.88,salt,temperate
GCF_021554855.1,Planktothrix agardhii 1804,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,4869815,filament,39.63288133,100,0.55,fresh,temperate
GCF_021554875.1,Planktothrix agardhii 1801,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,4856164,filament,39.66742062,99.78,0.44,fresh,temperate
GCF_021554915.1,Planktothrix agardhii 1803,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,4991932,filament,39.66919021,99.78,2.95,fresh,temperate
GCF_021554955.1,Planktothrix agardhii 1032,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,4991761,filament,39.56902183,100,0.56,fresh,temperate
GCF_021554965.1,Planktothrix agardhii 1030,USA: Ohio; Lake Erie; Sandusky Bay,Freshwater,5113968,filament,39.59829236,99.78,0.34,fresh,temperate
GCF_022063185.1,Nostoc sp. UHCC 0870,Finland: Varlaxudden; Baltic Sea,Brackish water; Varlaxudden; Baltic Sea,7172241,filament,40.97775019,99.55,0,salt,temperate
GCA_022184905.1,Limnoraphis sp. WC205,USA: Willow Creek Reservoir; Oregon,cyanobacterial bloom in freshwater lake,7364915,filament,41.79363917,99.56,0.22,fresh,temperate
GCA_022241785.1,Cyanocohniella sp. LLY,Chile: Visviri; Atacama Desert,Llayta,6781030,filament,41.17526035,100,0.22,soil,temperate
GCF_022376295.1,Nodularia sphaerocarpa UHCC 0038,Baltic Sea,Brackish water,5451672,filament,41.2658259,100,0.22,salt,temperate
GCA_022402445.1,Cyanobacteria bacterium,USA: California; Castaic Lake,non-axenic enrichment culture inoculated with lake water,4077419,NA,61.8936751,99.46,0,fresh,temperate
GCA_022402525.1,Thermosynechococcaceae cyanobacterium MS004,USA: California; Castaic Lake,non-axenic enrichment culture inoculated with lake water,4931563,single,50.95992844,99.06,0.47,fresh,temperate
GCA_022448615.1,Trichodesmium sp. ALOHA_ZT_67,Pacific Ocean: North Pacific Gyre; Station ALOHA,HOE Legacy IIB net trap,6926000,filament,33.84618007,99.49,0.22,salt,temperate
GCF_022701255.1,Microcoleus vaginatus HSN003,USA: Utah; Moab,Topsoil desert biocrust,6756317,filament,45.78754964,99.78,0.44,soil,temperate
GCF_022701275.1,Microcoleus vaginatus PCC 9802,USA: Moab; Utah,Topsoil desert biocrust,6698371,filament,46.03277424,99.45,0,soil,temperate
GCF_022984195.1,Synechococcus elongatus PCC 6301,USA: Texas; Austin; Waller Creek,ENVO:00002228,2749599,single,55.43750198,100,0,fresh,temperate
GCF_023078835.1,Synechococcus sp. NB0720_010,USA: Rhode Island; Narragansett Bay,Narragansett Bay,2410448,single,63.11212687,100,0,salt,temperate
GCF_023115425.1,Synechococcus sp. A10-1-5-1,China: the Yangtze River estuary,estuarine water,2404104,single,61.88925271,99.86,0.54,fresh,temperate
GCF_023333585.1,Argonema antarcticum A004/B2,Antarctica,soil crust,7745032,filament,44.5263998,99.59,1.22,soil,cold-freezing
GCF_023333595.1,Argonema galeatum A003/A1,Antarctica,soil crust,6929784,filament,44.89363441,99.48,0.74,soil,cold-freezing
GCF_023630635.1,Synechococcus sp. MU1651,Tasman Sea,seawater,2217880,single,60.69737768,99.46,0,salt,temperate
GCA_023657325.1,Gloeotrichia echinulata DEX184,USA: Dexter Reservoir; Oregon,cyanobacterial bloom in freshwater lake,7282189,filament,41.8844526,99.33,1.33,fresh,temperate
GCF_023734775.1,Nostoc cf. commune SO-36,Antarctica:Kuzira Misaki; Padda Island; Lutzow-Holm Bay,soil,7408262,filament,41.35519235,97.78,0.7,soil,cold-freezing
GCA_024036375.1,Dolichospermum sp. OL03,USA: Shelter Cove; Odell Lake; Oregon,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,5362622,filament,38.17598928,99.67,0.11,fresh,temperate
GCA_024239075.1,Fischerella sp. CENA71,Brazil: Amazon rainforest; Hatahara archaeological site,non-axenic culture of a cyanobacterium and its heterotrophs; obtained from an Amazon rainforest soil sample,7465651,filament,40.24876062,100,0.54,soil,temperate
GCA_024320855.1,Planktothrix agardhii LY1,Ecuador: Ibarra;Laguna de Yahuarcocha,composite plankton tow from depth to surface (0-7 meters) lake water; freshwater algal bloom,4693391,filament,39.54106122,100,0.22,fresh,cold-freezing
GCF_024345415.1,Synechococcus sp. Tobar12-5m-g,Spain: Lake El Tobar,freshwater,2951029,single,65.79711687,99.46,0.27,fresh,temperate
GCF_024345495.1,Synechococcus sp. RedBA-s,Russia: Lake Baikal,freshwater,2716594,single,66.32941838,99.18,0.82,fresh,cold-freezing
GCF_024345555.1,Vulcanococcus limneticus MW73D5,Austria: Lake Hallstattersee,freshwater,3446141,single,68.61738971,100,0.82,fresh,temperate
GCF_024345595.1,Synechococcus lacustris Maggiore-St4-Slac,Italy: Lake Maggiore,freshwater,2296351,single,51.79539191,98.82,0.54,fresh,temperate
GCF_024345655.1,Synechococcus sp. Lug-A,Switzerland: Lake Lugano,freshwater,3010822,single,66.30800492,100,0.54,fresh,temperate
GCF_024345695.1,Synechococcus sp. L2F,Spain: Loriguilla Reservoir,freshwater,3037934,single,66.22839733,100,0.54,fresh,temperate
GCF_024345715.1,Synechococcus lacustris L1F-Slac,Spain: Loriguilla Reservoir,freshwater,2233108,single,51.94594261,98.82,0.27,fresh,temperate
GCF_024345735.1,Synechococcus lacustris L1E-Slac,Spain: Loriguilla Reservoir,freshwater,2260992,single,51.7857206,98.82,0.91,fresh,temperate
GCF_024345775.1,Synechococcus sp. JJ3a-Johnson,New Zealand: Lake Johnson,freshwater,2848959,single,64.90353143,99.46,0.27,fresh,temperate
GCF_024345795.1,Synechococcus sp. J7-Johnson,New Zealand: Lake Johnson,freshwater,2995359,single,65.26049131,99.73,0,fresh,temperate
GCF_024345835.1,Synechococcus sp. HJ21-Hayes,New Zealand: Lake Hayes,freshwater,2936087,single,64.85308508,100,0.27,fresh,temperate
GCF_024345855.1,Synechococcus sp. GreenBA-s,Russia: Lake Baikal,freshwater,2852592,single,70.37529377,97.28,1.63,fresh,cold-freezing
GCF_024345895.1,Synechococcus sp. Edmonson 11F2,Antarctica: Edmonson Point 145,freshwater,3150148,single,65.24423614,99.73,0,fresh,cold-freezing
GCF_024345915.1,Synechococcus sp. Cruz-9H2,Spain: Lake La Cruz,freshwater,3155699,single,65.22288723,99.73,0,fresh,temperate
GCF_024345935.1,Synechococcus sp. Cruz-9C9,Spain: Lake La Cruz,freshwater,3152229,single,65.22111814,99.46,0,fresh,temperate
GCF_024345995.1,Synechococcus sp. Cruz-7E5,Spain: Lake La Cruz,freshwater,3155391,single,65.22434145,99.73,0,fresh,temperate
GCF_024346015.1,Synechococcus sp. Cruz-7B9,Spain: Lake La Cruz,freshwater,3155662,single,65.22403223,99.73,0,fresh,temperate
GCF_024346035.1,Synechococcus sp. Cruz CV-v-12,Spain: Lake La Cruz,freshwater,3022307,single,65.85290641,99.46,0.72,fresh,temperate
GCF_024346175.1,Vulcanococcus limneticus Candia 3F8,Italy: Lake Candia,freshwater,3496329,single,68.49512732,100,0.82,fresh,temperate
GCF_024346195.1,Vulcanococcus limneticus Candia 3B3,Italy: Lake Candia,freshwater,3444893,single,68.60227589,100,0.54,fresh,temperate
GCF_024346215.1,Synechococcus lacustris C3-12m-Tous,Spain: Tous reservoir,freshwater,2569458,single,51.6870484,97.46,1.27,fresh,temperate
GCF_024346375.1,Synechococcus sp. ATX 2A4,Mexico: Lake Atexcac,freshwater,2920482,single,66.10641668,99.46,0.54,fresh,temperate
GCA_025127975.1,Synechococcus sp. CS-1331,Canada: Nunavut; Ellesmere Island; Lake A,freshwater,2509836,single,64.61362416,99.46,0.27,fresh,cold-freezing
GCA_025127995.1,Synechococcus sp. CS-1332,Canada: Nunavut; Ellesmere Island; Lake C3,freshwater,2973784,single,67.34974699,97.28,0.27,fresh,cold-freezing
GCA_025128015.1,Synechococcus sp. CS-1333,Canada: Nunavut; Bylot Island; Tundra Pond,freshwater,2931480,single,66.26427607,98.64,0.27,fresh,cold-freezing
GCA_025128025.1,Synechococcus sp. CS-1330,Canada: Northwest Territories; Eastern Beaufort Sea,freshwater,2513790,single,62.64827213,98.91,0.27,fresh,cold-freezing
